Tool Name,Researcher,Deep Dive,Category,Language,Website,OS License,Version Control,Maintaner(s),Initial Release,Last Active Date,Alternate Tools,Notes,Source,,,,,,,,,,,
0trace,gk,,Information Gathering,Python,https://jon.oberheide.org/0trace/,,,Jon Oberheide <jon@oberheide.org>,1/25/2007,1/25/2007,,original script: http://lcamtuf.coredump.cx/,Kali repos,,,,,,,,,,,
acccheck,gk,,Password Attacks,Perl,http://labs.portcullis.co.uk/tools/acccheck/,,,Faisal Dean (Faiz),9/4/2008,9/4/2008,,,Kali repos,,,,,,,,,,,
ace-voip,gk,,Information Gathering,C,http://ucsniff.sourceforge.net/ace.html,,,"Sipera VIPER Lab, Arjun Sambamoorthy, Anil Mahale, Jason Ostrom, dookie <dookie@kali.org>",2008,10/21/2009,,,Kali repos,,,,,,,,,,,
aircrack-ng,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
amap,gk,gk,Information Gathering,C,https://www.thc.org/thc-amap/,,,van Hauser and DJ RevMoon / THC <amap-dev@thc.org>,2001,4/1/2011,thc,,Kali repos,,,,,,,,,,,
apktool,gk,,Reverse Engineering,Java,https://code.google.com/p/android-apktool/,,git,"Brut.alll,connor.tumbleson,
iBotPeac...@gmail.com??",3/2010,10/3/2013,,,Kali repos,,,,,,,,,,,
armitage,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
arping,gk,,Information Gathering,C,https://github.com/ThomasHabets/arping,GPL,git,https://github.com/ThomasHabets,4/4/2000,12/19/2012,,,Kali repos,,,,,,,,,,,
arp-scan,gk,,Information Gathering,C?,http://www.nta-monitor.com/wiki/index.php/Arp-scan_Documentation,,,Roy Hills <Roy.Hills@nta-monitor.com>,6/2006,7/1/2013,,,Kali repos,,,,,,,,,,,
arpwatch,gk,,Information Gathering,C,http://ee.lbl.gov/,,,,1996,7/28/2006,,,Kali repos,,,,,,,,,,,
asleap,gk,,Exploitation Tools,C,http://www.willhackforsushi.com/Asleap.html,,na,Joshua Wright <jwright@hasborg.com>,2004,5/28/2008,,github: https://github.com/1aN0rmus/TekDefense-Automater,Kali repos,,,,,,,,,,,
